compression_method,compression_ratio,classifier,accuracy,precision,recall,f1_score,roc_auc,train_time,test_time,feature_dim_original,feature_dim_compressed,compression_rate,timestamp
bernoulli,0.25,random_forest,0.49183303085299457,0.4889595570084377,0.49183303085299457,0.485790504418975,0.8709943702056991,1.7629413604736328,0.03816866874694824,747,186,75.0,2025-12-17 09:39:37
bernoulli,0.25,svm,0.5269207501512402,0.5337431431724015,0.5269207501512402,0.5136943631066934,0.8913181199370535,29.433921098709106,3.710280179977417,747,186,75.0,2025-12-17 09:40:13
bernoulli,0.25,xgboost,0.5245009074410163,0.5296252193533664,0.5245009074410163,0.5214066447203776,0.8828685677104727,12.827297687530518,0.009371519088745117,747,186,75.0,2025-12-17 09:40:26
bernoulli,0.5,random_forest,0.49183303085299457,0.49063001363729347,0.49183303085299457,0.48478543358608855,0.8740396976696829,2.6879618167877197,0.03941178321838379,747,373,50.0,2025-12-17 09:56:40
bernoulli,0.5,svm,0.5245009074410163,0.5341085487801395,0.5245009074410163,0.5120329316514108,0.8916979826047191,49.807111740112305,6.689697027206421,747,373,50.0,2025-12-17 09:57:43
bernoulli,0.5,xgboost,0.5323653962492438,0.5370184828508936,0.5323653962492438,0.5283557264697801,0.892117204900424,24.846481561660767,0.012015581130981445,747,373,50.0,2025-12-17 09:58:08
bernoulli,0.75,random_forest,0.5021173623714459,0.5019951781840802,0.5021173623714459,0.49524695037886124,0.8715460402705563,2.881344795227051,0.040702104568481445,747,560,25.0,2025-12-17 10:15:34
bernoulli,0.75,svm,0.5317604355716878,0.5441958684372675,0.5317604355716878,0.5198233630398928,0.8918177449483382,47.517959117889404,6.665945053100586,747,560,25.0,2025-12-17 10:16:35
bernoulli,0.75,xgboost,0.5329703569267997,0.5425781749751492,0.5329703569267997,0.5297112089886205,0.8942898165613198,24.366225242614746,0.010954856872558594,747,560,25.0,2025-12-17 10:17:00
bernoulli,1.0,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,2.9574193954467773,0.03588056564331055,747,747,0.0,2025-12-17 10:29:48
bernoulli,1.0,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,47.022301197052,6.294750928878784,747,747,0.0,2025-12-17 10:30:47
bernoulli,1.0,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,26.84178590774536,0.011378049850463867,747,747,0.0,2025-12-17 10:31:14
dwt,0.25,random_forest,0.588021778584392,0.5919189458201415,0.588021778584392,0.5851238942509271,0.904928643638665,1.9722049236297607,0.03741121292114258,747,256,75.0,2025-12-17 10:43:10
dwt,0.25,svm,0.5009074410163339,0.5068915276856166,0.5009074410163339,0.49694290954941567,0.8776269578631729,39.72422647476196,3.4113612174987793,747,256,75.0,2025-12-17 10:43:57
dwt,0.25,xgboost,0.6515426497277677,0.660831967716791,0.6515426497277677,0.6474891732786782,0.9243733058570797,13.732575178146362,0.009581327438354492,747,256,75.0,2025-12-17 10:44:10
dwt,0.5,random_forest,0.5989110707803993,0.60543588512103,0.5989110707803993,0.593376535823712,0.9131131001195046,3.03672194480896,0.03796029090881348,747,512,50.0,2025-12-17 10:56:35
dwt,0.5,svm,0.4882032667876588,0.5070703031599627,0.4882032667876588,0.474326434784517,0.8710646396390369,75.74515151977539,6.506367444992065,747,512,50.0,2025-12-17 10:58:04
dwt,0.5,xgboost,0.6376285541439807,0.6335898944989605,0.6376285541439807,0.6300743768149665,0.9320077168264572,29.458739757537842,0.011624813079833984,747,512,50.0,2025-12-17 10:58:33
dwt,0.75,random_forest,0.5456745311554749,0.5567693240813386,0.5456745311554749,0.5447445044420709,0.8866370123423946,4.006263732910156,0.03693199157714844,747,768,25.0,2025-12-17 11:11:51
dwt,0.75,svm,0.48759830611010285,0.4984253946341978,0.48759830611010285,0.4807938258965541,0.8756322096776876,118.7110013961792,9.880569696426392,747,768,25.0,2025-12-17 11:14:09
dwt,0.75,xgboost,0.6339987900786449,0.6455649518626428,0.6339987900786449,0.6347616907076992,0.9269681243197655,39.33892750740051,0.013959646224975586,747,768,25.0,2025-12-17 11:14:49
dwt,1.0,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,3.29225492477417,0.03868985176086426,747,747,0.0,2025-12-17 11:27:03
dwt,1.0,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,57.89129400253296,7.183757305145264,747,747,0.0,2025-12-17 11:28:15
dwt,1.0,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,33.59405875205994,0.012880086898803711,747,747,0.0,2025-12-17 11:28:49
hybrid,0.25,random_forest,0.4906231094978826,0.48966027587106825,0.4906231094978826,0.4841878572080836,0.87388563725495,1.9630212783813477,0.03476095199584961,747,256,75.0,2025-12-17 11:42:20
hybrid,0.25,svm,0.5335753176043557,0.5402521225153795,0.5335753176043557,0.521889655753303,0.8933258095940713,22.560408115386963,2.6739723682403564,747,256,75.0,2025-12-17 11:42:48
hybrid,0.25,xgboost,0.5547489413188142,0.5590820016829997,0.5547489413188142,0.5530975161871079,0.8990638591612727,14.008492946624756,0.009147405624389648,747,256,75.0,2025-12-17 11:43:02
hybrid,0.5,random_forest,0.4882032667876588,0.4882686804720522,0.4882032667876588,0.48192881936131865,0.8802963493515593,2.7786941528320312,0.03757977485656738,747,512,50.0,2025-12-17 11:56:54
hybrid,0.5,svm,0.52994555353902,0.537915397394537,0.52994555353902,0.5182307017889957,0.8933975383426631,37.22472906112671,5.104241609573364,747,512,50.0,2025-12-17 11:57:41
hybrid,0.5,xgboost,0.5511191772534785,0.5573289377353259,0.5511191772534785,0.5483433784324224,0.8950841196039626,23.660053968429565,0.013642072677612305,747,512,50.0,2025-12-17 11:58:05
hybrid,0.75,random_forest,0.4984875983061101,0.496118400177337,0.4984875983061101,0.4915931273909288,0.8820900552594144,3.403881072998047,0.037216901779174805,747,768,25.0,2025-12-17 12:13:47
hybrid,0.75,svm,0.530550514216576,0.5401541066955138,0.530550514216576,0.5184776997450715,0.8939248818765259,56.334495067596436,7.456425428390503,747,768,25.0,2025-12-17 12:14:58
hybrid,0.75,xgboost,0.5353901996370236,0.541991509162036,0.5353901996370236,0.5322820745050516,0.8960807115434484,34.263203144073486,0.016236305236816406,747,768,25.0,2025-12-17 12:15:33
hybrid,1.0,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,3.8698856830596924,0.15996742248535156,747,747,0.0,2025-12-17 12:32:53
hybrid,1.0,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,86.83563542366028,5.749895334243774,747,747,0.0,2025-12-17 12:34:31
hybrid,1.0,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,29.085860013961792,0.011918306350708008,747,747,0.0,2025-12-17 12:35:00
none,0.25,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,3.128131628036499,0.037225961685180664,747,747,75.0,2025-12-17 12:45:33
none,0.25,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,43.41692233085632,5.615233659744263,747,747,75.0,2025-12-17 12:46:28
none,0.25,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,29.624675273895264,0.012162923812866211,747,747,75.0,2025-12-17 12:46:58
none,0.5,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,3.105825662612915,0.03740739822387695,747,747,50.0,2025-12-17 12:57:39
none,0.5,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,44.097479581832886,5.806629180908203,747,747,50.0,2025-12-17 12:58:34
none,0.5,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,29.08737587928772,0.012164592742919922,747,747,50.0,2025-12-17 12:59:03
none,0.75,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,3.084214925765991,0.037518978118896484,747,747,25.0,2025-12-17 13:09:35
none,0.75,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,43.971030473709106,5.778276205062866,747,747,25.0,2025-12-17 13:10:30
none,0.75,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,29.250502824783325,0.011984109878540039,747,747,25.0,2025-12-17 13:11:00
none,1.0,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,3.1355338096618652,0.0358126163482666,747,747,0.0,2025-12-17 13:21:33
none,1.0,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,44.380807638168335,5.856433629989624,747,747,0.0,2025-12-17 13:22:29
none,1.0,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,29.188838720321655,0.01208353042602539,747,747,0.0,2025-12-17 13:22:58
